ip,port,anonymityLevel,asn,country,isp,latency,org,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"206.42.40.0","5678","elite","AS28126","BR","Brisanet Prestacao De Servicos De Internet Ltda","176","AGIS","socks4","300","2","2023-10-15T16:47:03.478Z","83","3530","4268"
"208.113.155.176","12886","elite","AS26347","US","New Dream Network, LLC","94","New Dream Network, LLC","socks4","4913","2","2023-10-15T18:35:32.842Z","100","4341","4348"
"213.149.103.133","61859","elite","AS8585","ME","Crnogorski Telekom a.d.Podgorica","40","T ComServeri","socks5","4813","2","2023-10-15T18:08:56.239Z","100","4378","4387"
"152.32.215.158","62235","elite","AS135377","HK","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","191","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","socks5","4591","2","2023-10-15T18:06:12.141Z","24","1041","4311"
"45.196.151.59","5432","elite","AS7018","US","AT&T Services, Inc.","89","AQUA Networks Limited","socks4","2892","2","2023-10-15T17:25:01.838Z","98","4214","4300"
"180.241.249.131","8080","elite","AS7713","ID","PT. TELKOM INDONESIA","237","N/A","socks5","4910","2","2023-10-15T18:46:58.092Z","54","2332","4335"
"188.92.242.99","8088","elite","AS25227","RU","JSC Avantel","53","Avantel, Close Joint Stock Company","socks5","2404","2","2023-10-15T18:01:43.648Z","100","4381","4395"
"27.72.145.184","5678","elite","AS7552","VN","Newass2011xDSLHN","392","N/A","socks4","5097","2","2023-10-15T18:22:34.986Z","99","4346","4378"
"115.159.56.148","2080","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","202","Tencent cloud computing (Beijing) Co., Ltd.","socks4","5192","2","2023-10-15T18:42:34.648Z","85","3636","4277"
"179.99.202.210","4153","elite","AS27699","BR","Vivo","207","TELEF�NICA BRASIL S.A","socks4","991","2","2023-10-15T16:48:19.378Z","100","4363","4382"
"51.77.65.164","31979","elite","AS16276","DE","OVH SAS","89","OVH GmbH","socks4","4996","2","2023-10-15T17:17:56.642Z","100","4365","4369"
"172.67.250.212","80","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","socks4","4694","2","2023-10-15T17:03:33.979Z","100","4362","4362"
"185.184.197.98","5678","elite","AS21277","IQ","Allay Nawroz Telecom Company for Communication/Ltd.","90","Tarin General Trading and Setting Up Internet Device LTD","socks4","2792","2","2023-10-15T17:37:03.245Z","99","4395","4426"
"195.62.52.164","29520","elite","AS44812","RU","IP SERVER LLC","94","IP SERVER LLC","socks4","4991","2","2023-10-15T18:24:30.642Z","92","4003","4360"
