"mark","model","mileage","transmission","registration","fuel","power","location","price"
Land-Rover,Range Rover Evoque,"238000",Manual,"01/2014",Diesel,"150",BE,10950
Ferrari,Portofino,"13700",Automatic,"01/2020",Gasoline,"600",DE,208000
Mercedes-Benz,E 53 AMG,"26415",Automatic,"11/2022",Gasoline,"435",DE,69900
Audi,A3,"102500",Automatic,"01/2012",Diesel,"105",BE,11499
Mercedes-Benz,Sprinter,"543634",Manual,"12/2018",Diesel,"163",DE,19950
Mercedes-Benz,C 43 AMG,"26695",Automatic,"10/2020",Gasoline,"390",DE,56990
Maybach,,"45",Automatic,,Gasoline,"469",DE,258800
BMW,Z4,"8715",Automatic,"06/2022",Gasoline,"258",BE,53995
BMW,"420","23645",Automatic,"05/2020",Gasoline,"184",DE,34499
Mercedes-Benz,C 220,"86338",Automatic,"01/2019",Diesel,"194",DE,32380
BMW,M5,"69700",Automatic,"05/2019",Gasoline,"625",DE,71800
Mercedes-Benz,GLC 200,"37246",Automatic,"10/2019",Gasoline,"197",DE,39880
Alpina,B5,"93499",Automatic,"05/2018",Gasoline,"608",DE,65898
Porsche,Targa,"20750",Automatic,"12/2021",Gasoline,"385",BE,155900
Ford,Tourneo Custom,"160000",Automatic,"09/2017",Diesel,"170",IT,24990
Mercedes-Benz,Viano,"269425",Automatic,"08/2013",Diesel,"224",DE,16499
Mercedes-Benz,C 300,"38895",Automatic,"07/2019",Diesel,"245",DE,35880
BAIC,Senova X55,"1",Automatic,,Gasoline,"170",DE,29900
BMW,X3,"121129",Automatic,"11/2018",Diesel,"136",BE,25299
Porsche,Macan,"115000",Automatic,"10/2019",Gasoline,"245",BE,49900
Volvo,V40,"194000",Manual,"01/2014",Diesel,"114",AT,7900
Volkswagen,Tiguan,"137376",Automatic,"11/2016",Diesel,"150",BE,19950
Porsche,"992","4250",Automatic,"04/2023",Gasoline,"385",BE,159911
Mercedes-Benz,GLA 250,"91884",Automatic,"10/2019",Gasoline,"211",DE,24999
BMW,X6,"8000",Automatic,"04/2023",Gasoline,"530",DE,113970
